DateTime,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_remainder,Voltage,Global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.176,34.922,0.0,546.0,4926.0,14680.934,236.24376,13.082828,6.375,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,2033.0,4187.0,13341.0,36946.668,240.08702,9.999027,6.375,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,19028.434,241.23169,6.4216666,6.375,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,13131.9,241.9993,4.9263887,6.375,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,0.0,2648.0,14063.0,20384.8,242.30807,6.467361,6.375,9.333,5.667,2.167,0.167
2006-12-21,1723.288,144.434,1765.0,2692.0,10456.0,13808.467,241.03917,5.046111,6.375,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,24390.3,241.18456,6.8729167,6.375,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,2669.0,425.0,14726.0,61736.434,240.13606,14.028056,6.375,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,1703.0,5082.0,6891.0,28824.2,241.68744,7.6404166,6.375,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,31341.666,243.39993,7.951528,6.375,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,1086.0,2533.0,14979.0,46970.5,241.62543,11.347917,6.375,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.90201,0.0,314.0,6976.0,18189.334,243.76736,4.5175,6.375,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,2207.0,4419.0,9176.0,18741.967,243.26834,6.0862503,6.375,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,1252.0,5162.0,11329.0,35163.535,240.8713,9.271389,6.375,9.333,5.667,2.167,0.167
2006-12-30,2796.108,312.142,3072.0,7893.0,12516.0,23120.8,240.53969,8.300416,6.375,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,0.0,347.0,6502.0,51387.6,239.89658,10.199584,6.375,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,0.0,352.0,5880.0,39584.734,240.12897,7.9169445,2.836,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,0.0,348.0,6562.0,14243.934,241.94377,3.714028,2.836,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,0.0,344.0,4765.0,11791.9,243.5571,3.0140278,2.836,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,1051.0,7597.0,10896.0,34779.535,239.7503,9.478194,2.836,10.2,0.6,0.0,0.0
2007-01-05,2713.364,173.154,1483.0,379.0,7602.0,35758.734,240.49577,7.8851385,2.836,10.2,0.6,0.0,0.0
2007-01-06,1508.378,192.188,1336.0,402.0,5678.0,17723.633,239.67305,4.543889,2.836,10.2,0.6,0.0,0.0
2007-01-07,2447.62,246.074,1987.0,8177.0,12810.0,17819.666,240.9025,7.282639,2.836,10.2,0.6,0.0,0.0
2007-01-08,2241.36,207.568,0.0,467.0,17547.0,19342.0,239.57695,6.5516667,2.836,10.2,0.6,0.0,0.0
2007-01-09,1869.054,207.248,1688.0,4267.0,9790.0,15405.9,240.48752,5.521111,2.836,10.2,0.6,0.0,0.0
2007-01-10,2154.8,228.452,771.0,4456.0,11012.0,19674.334,241.02745,6.357778,2.836,10.2,0.6,0.0,0.0
2007-01-11,2255.194,230.02,1378.0,2170.0,12415.0,21623.566,241.15569,6.6583333,2.836,10.2,0.6,0.0,0.0
2007-01-12,1461.296,199.14,0.0,439.0,8276.0,15639.934,241.53822,4.309167,2.836,10.2,0.6,0.0,0.0
2007-01-13,3186.814,290.736,7806.0,2975.0,11341.0,30991.566,239.28362,9.453055,2.836,10.2,0.6,0.0,0.0
2007-01-14,3009.442,227.278,1777.0,4215.0,12975.0,31190.367,238.82254,8.966805,2.836,10.2,0.6,0.0,0.0
2007-01-15,2148.678,174.86,1099.0,2239.0,15163.0,17310.3,241.2409,6.2615275,2.836,10.2,0.6,0.0,0.0
2007-01-16,1686.404,185.428,2063.0,644.0,6583.0,18816.732,241.94475,4.975972,2.836,10.2,0.6,0.0,0.0
2007-01-17,2847.688,200.752,3500.0,5737.0,16064.0,22160.467,241.00525,8.283889,2.836,10.2,0.6,0.0,0.0
2007-01-18,1821.462,177.712,0.0,336.0,13491.0,16530.7,240.8936,5.3425,2.836,10.2,0.6,0.0,0.0
2007-01-19,1480.44,170.052,2103.0,330.0,7172.0,15069.0,240.16093,4.37625,2.836,10.2,0.6,0.0,0.0
2007-01-20,3133.732,238.362,4324.0,5222.0,11440.0,31242.867,238.86746,9.348056,2.836,10.2,0.6,0.0,0.0
2007-01-21,3407.262,229.73601,10346.0,5567.0,11599.0,29275.7,238.96812,10.190694,2.836,10.2,0.6,0.0,0.0
2007-01-22,2180.494,168.642,1054.0,2983.0,11361.0,20943.566,241.60312,6.3552775,2.836,10.2,0.6,0.0,0.0
2007-01-23,1777.64,138.28,0.0,1064.0,5061.0,23502.334,242.76256,5.2608333,2.836,10.2,0.6,0.0,0.0
2007-01-24,2987.854,178.06,3464.0,2480.0,11744.0,32109.566,241.4577,8.733611,2.836,10.2,0.6,0.0,0.0
